time_s,f0_hz,midi,voiced,voiced_prob
0.000000,,,0,0.000000
0.011610,,,0,0.000000
0.023220,,,0,0.000000
0.034830,,,0,0.000000
0.046440,,,0,0.010000
0.058050,,,0,0.010000
0.069660,981.629285,82.892097,1,0.010000
0.081270,900.158023,81.392097,1,0.010000
0.092880,953.684205,82.392097,1,0.010000
0.104490,894.973495,81.292097,1,0.010000
0.116100,948.191388,82.292097,1,0.010000
0.127710,894.973495,81.292097,1,0.010000
0.139320,942.730208,82.192097,1,0.010000
0.150930,894.973495,81.292097,1,0.010000
0.162540,959.208841,82.492097,1,0.010000
0.174150,889.818827,81.192097,1,0.010000
0.185760,953.684205,82.392097,1,0.010000
0.197370,889.818827,81.192097,1,0.010000
0.208980,981.629285,82.892097,1,0.010000
0.220590,953.684205,82.392097,1,0.010000
0.232200,964.765482,82.592097,1,0.010000
0.243810,884.693847,81.092097,1,0.010000
0.255420,959.208841,82.492097,1,0.010000
0.267029,889.818827,81.192097,1,0.010000
0.278639,894.973495,81.292097,1,0.010000
0.290249,889.818827,81.192097,1,0.010000
0.301859,894.973495,81.292097,1,0.010000
0.313469,889.818827,81.192097,1,0.010000
0.325079,910.617356,81.592097,1,0.010000
0.336689,894.973495,81.292097,1,0.010000
0.348299,910.617356,81.592097,1,0.010000
0.359909,910.617356,81.592097,1,0.010000
0.371519,915.892509,81.692097,1,0.010000
0.383129,905.372586,81.492097,1,0.010000
0.394739,915.892509,81.692097,1,0.010000
0.406349,,,0,0.010000
0.417959,,,0,0.010000
0.429569,,,0,0.010000
0.441179,,,0,0.010000
0.452789,,,0,0.010000
0.464399,,,0,0.010000
0.476009,,,0,0.010074
0.487619,,,0,0.010038
0.499229,,,0,0.010001
0.510839,,,0,0.010000
0.522449,,,0,0.010000
0.534059,,,0,0.010000
0.545669,248.258817,59.092097,1,0.010000
0.557279,246.828951,58.992097,1,0.010003
0.568889,235.682552,58.192097,1,0.010074
0.580499,234.325120,58.092097,1,0.010468
0.592109,232.975507,57.992097,1,0.013980
0.603719,237.047847,58.292097,1,0.022944
0.615329,234.325120,58.092097,1,0.034897
0.626939,235.682552,58.192097,1,0.047687
0.638549,232.975507,57.992097,1,0.056071
0.650159,232.975507,57.992097,1,0.066082
0.661769,232.975507,57.992097,1,0.092038
0.673379,232.975507,57.992097,1,0.108580
0.684989,232.975507,57.992097,1,0.127937
0.696599,231.633667,57.892097,1,0.150465
0.708209,231.633667,57.892097,1,0.176531
0.719819,231.633667,57.892097,1,0.240754
0.731429,231.633667,57.892097,1,0.426062
0.743039,231.633667,57.892097,1,0.484987
0.754649,232.975507,57.992097,1,0.484987
0.766259,232.975507,57.992097,1,0.484987
0.777868,234.325120,58.092097,1,0.484987
0.789478,232.975507,57.992097,1,0.426062
0.801088,232.975507,57.992097,1,0.426062
0.812698,232.975507,57.992097,1,0.279605
0.824308,232.975507,57.992097,1,0.240754
0.835918,231.633667,57.892097,1,0.176531
0.847528,230.299555,57.792097,1,0.127937
0.859138,228.973127,57.692097,1,0.127937
0.870748,228.973127,57.692097,1,0.108580
0.882358,230.299555,57.792097,1,0.092038
0.893968,230.299555,57.792097,1,0.092038
0.905578,228.973127,57.692097,1,0.127937
0.917188,230.299555,57.792097,1,0.108580
0.928798,231.633667,57.892097,1,0.150465
0.940408,234.325120,58.092097,1,0.176531
0.952018,234.325120,58.092097,1,0.206507
0.963628,234.325120,58.092097,1,0.240754
0.975238,234.325120,58.092097,1,0.323336
0.986848,235.682552,58.192097,1,0.279605
0.998458,235.682552,58.192097,1,0.323336
1.010068,235.682552,58.192097,1,0.372136
1.021678,235.682552,58.192097,1,0.372136
1.033288,235.682552,58.192097,1,0.323336
1.044898,237.047847,58.292097,1,0.279605
1.056508,237.047847,58.292097,1,0.323336
1.068118,238.421051,58.392097,1,0.372136
1.079728,238.421051,58.392097,1,0.484987
1.091338,237.047847,58.292097,1,0.548525
1.102948,238.421051,58.392097,1,0.372136
1.114558,237.047847,58.292097,1,0.020318
1.126168,246.828951,58.992097,1,0.010102
1.137778,249.696966,59.192097,1,0.010000
1.149388,251.143446,59.292097,1,0.010000
1.160998,251.143446,59.292097,1,0.010000
1.172608,,,0,0.010000
1.184218,,,0,0.010000
1.195828,,,0,0.010000
1.207438,,,0,0.010000
1.219048,283.532010,61.392097,1,0.010000
1.230658,283.532010,61.392097,1,0.011086
1.242268,281.898986,61.292097,1,0.047687
1.253878,280.275368,61.192097,1,0.150465
1.265488,280.275368,61.192097,1,0.240754
1.277098,278.661100,61.092097,1,0.372136
1.288707,278.661100,61.092097,1,0.426062
1.300317,278.661100,61.092097,1,0.484987
1.311927,277.056130,60.992097,1,0.484987
1.323537,277.056130,60.992097,1,0.484987
1.335147,277.056130,60.992097,1,0.484987
1.346757,275.460405,60.892097,1,0.426062
1.358367,277.056130,60.992097,1,0.372136
1.369977,277.056130,60.992097,1,0.323336
1.381587,280.275368,61.192097,1,0.323336
1.393197,280.275368,61.192097,1,0.372136
1.404807,280.275368,61.192097,1,0.372136
1.416417,281.898986,61.292097,1,0.372136
1.428027,280.275368,61.192097,1,0.372136
1.439637,280.275368,61.192097,1,0.323336
1.451247,278.661100,61.092097,1,0.279605
1.462857,277.056130,60.992097,1,0.240754
1.474467,275.460405,60.892097,1,0.240754
1.486077,275.460405,60.892097,1,0.206507
1.497687,273.873869,60.792097,1,0.176531
1.509297,273.873869,60.792097,1,0.150465
1.520907,275.460405,60.892097,1,0.127937
1.532517,277.056130,60.992097,1,0.108580
1.544127,278.661100,61.092097,1,0.127937
1.555737,278.661100,61.092097,1,0.108580
1.567347,278.661100,61.092097,1,0.092038
1.578957,278.661100,61.092097,1,0.077975
1.590567,278.661100,61.092097,1,0.092038
1.602177,277.056130,60.992097,1,0.047687
1.613787,277.056130,60.992097,1,0.034897
1.625397,277.056130,60.992097,1,0.022944
1.637007,277.056130,60.992097,1,0.018187
1.648617,277.056130,60.992097,1,0.015086
1.660227,277.056130,60.992097,1,0.013980
1.671837,277.056130,60.992097,1,0.015086
1.683447,277.056130,60.992097,1,0.015086
1.695057,278.661100,61.092097,1,0.018187
1.706667,280.275368,61.192097,1,0.020318
1.718277,280.275368,61.192097,1,0.030107
1.729887,280.275368,61.192097,1,0.040697
1.741497,281.898986,61.292097,1,0.047687
1.753107,280.275368,61.192097,1,0.034897
1.764717,285.174495,61.492097,1,0.026168
1.776327,285.174495,61.492097,1,0.010140
1.787937,,,0,0.010000
1.799546,,,0,0.010000
1.811156,,,0,0.010000
1.822766,,,0,0.010000
1.834376,,,0,0.010000
1.845986,,,0,0.010000
1.857596,,,0,0.010000
1.869206,,,0,0.010000
1.880816,374.122731,66.192097,1,0.010019
1.892426,378.469828,66.392097,1,0.108580
1.904036,376.290002,66.292097,1,0.372136
1.915646,374.122731,66.192097,1,0.615950
1.927256,374.122731,66.192097,1,0.757160
1.938866,374.122731,66.192097,1,0.891144
1.950476,374.122731,66.192097,1,0.891144
1.962086,374.122731,66.192097,1,0.891144
1.973696,374.122731,66.192097,1,0.945930
1.985306,374.122731,66.192097,1,0.891144
1.996916,376.290002,66.292097,1,0.615950
2.008526,378.469828,66.392097,1,0.323336
2.020136,382.867435,66.592097,1,0.127937
2.031746,391.816537,66.992097,1,0.108580
2.043356,398.665370,67.292097,1,0.150465
2.054966,405.633918,67.592097,1,0.323336
2.066576,410.347157,67.792097,1,0.615950
2.078186,412.724274,67.892097,1,0.757160
2.089796,415.115161,67.992097,1,0.891144
2.101406,415.115161,67.992097,1,0.891144
2.113016,417.519899,68.092097,1,0.945930
2.124626,417.519899,68.092097,1,0.945930
2.136236,417.519899,68.092097,1,0.945930
2.147846,415.115161,67.992097,1,0.945930
2.159456,415.115161,67.992097,1,0.945930
2.171066,415.115161,67.992097,1,0.891144
2.182676,412.724274,67.892097,1,0.826669
2.194286,410.347157,67.792097,1,0.426062
2.205896,407.983731,67.692097,1,0.066082
2.217506,396.369226,67.192097,1,0.012403
2.229116,382.867435,66.592097,1,0.010140
2.240726,341.096107,64.592097,1,0.011422
2.252336,329.477122,63.992097,1,0.020318
2.263946,323.816902,63.692097,1,0.127937
2.275556,321.951854,63.592097,1,0.279605
2.287166,318.253921,63.392097,1,0.757160
2.298776,316.420914,63.292097,1,0.891144
2.310385,316.420914,63.292097,1,0.891144
2.321995,316.420914,63.292097,1,0.891144
2.333605,316.420914,63.292097,1,0.826669
2.345215,316.420914,63.292097,1,0.826669
2.356825,316.420914,63.292097,1,0.686083
2.368435,316.420914,63.292097,1,0.426062
2.380045,316.420914,63.292097,1,0.240754
2.391655,310.984992,62.992097,1,0.066082
2.403265,295.231152,62.092097,1,0.018187
2.414875,286.826494,61.592097,1,0.018187
2.426485,285.174495,61.492097,1,0.012403
2.438095,,,0,0.013100
2.449705,,,0,0.010140
2.461315,,,0,0.010038
2.472925,,,0,0.010000
2.484535,,,0,0.010000
2.496145,,,0,0.010000
