time_s,f0_hz,midi,voiced,voiced_prob
0.000000,,,0,0.010000
0.011610,,,0,0.010000
0.023220,,,0,0.010000
0.034830,,,0,0.010000
0.046440,,,0,0.010000
0.058050,,,0,0.010000
0.069660,242.588578,58.692097,1,0.010001
0.081270,242.588578,58.692097,1,0.010349
0.092880,237.047847,58.292097,1,0.016468
0.104490,237.047847,58.292097,1,0.040697
0.116100,237.047847,58.292097,1,0.077975
0.127710,237.047847,58.292097,1,0.127937
0.139320,237.047847,58.292097,1,0.176531
0.150930,235.682552,58.192097,1,0.240754
0.162540,235.682552,58.192097,1,0.323336
0.174150,232.975507,57.992097,1,0.323336
0.185760,234.325120,58.092097,1,0.323336
0.197370,232.975507,57.992097,1,0.426062
0.208980,232.975507,57.992097,1,0.484987
0.220590,235.682552,58.192097,1,0.548525
0.232200,232.975507,57.992097,1,0.615950
0.243810,232.975507,57.992097,1,0.686083
0.255420,235.682552,58.192097,1,0.826669
0.267029,234.325120,58.092097,1,0.891144
0.278639,234.325120,58.092097,1,0.891144
0.290249,232.975507,57.992097,1,0.945930
0.301859,232.975507,57.992097,1,0.891144
0.313469,234.325120,58.092097,1,0.615950
0.325079,239.802210,58.492097,1,0.323336
0.336689,239.802210,58.492097,1,0.092038
0.348299,239.802210,58.492097,1,0.026168
0.359909,231.633667,57.892097,1,0.012403
0.371519,232.975507,57.992097,1,0.010623
0.383129,232.975507,57.992097,1,0.010349
0.394739,232.975507,57.992097,1,0.010824
0.406349,232.975507,57.992097,1,0.020318
0.417959,234.325120,58.092097,1,0.066082
0.429569,232.975507,57.992097,1,0.206507
0.441179,232.975507,57.992097,1,0.372136
0.452789,232.975507,57.992097,1,0.548525
0.464399,232.975507,57.992097,1,0.615950
0.476009,232.975507,57.992097,1,0.615950
0.487619,232.975507,57.992097,1,0.686083
0.499229,231.633667,57.892097,1,0.757160
0.510839,231.633667,57.892097,1,0.757160
0.522449,232.975507,57.992097,1,0.757160
0.534059,234.325120,58.092097,1,0.757160
0.545669,234.325120,58.092097,1,0.757160
0.557279,234.325120,58.092097,1,0.686083
0.568889,234.325120,58.092097,1,0.611636
0.580499,234.325120,58.092097,1,0.544832
0.592109,235.682552,58.192097,1,0.484987
0.603719,235.682552,58.192097,1,0.426062
0.615329,237.047847,58.292097,1,0.426062
0.626939,237.047847,58.292097,1,0.426062
0.638549,235.682552,58.192097,1,0.426062
0.650159,234.325120,58.092097,1,0.426062
0.661769,234.325120,58.092097,1,0.426062
0.673379,234.325120,58.092097,1,0.484987
0.684989,234.325120,58.092097,1,0.548525
0.696599,234.325120,58.092097,1,0.686083
0.708209,238.421051,58.392097,1,0.757160
0.719819,234.325120,58.092097,1,0.757160
0.731429,234.325120,58.092097,1,0.826669
0.743039,234.325120,58.092097,1,0.891144
0.754649,234.325120,58.092097,1,0.984879
0.766259,235.682552,58.192097,1,0.984879
0.777868,235.682552,58.192097,1,0.984879
0.789478,237.047847,58.292097,1,0.984879
0.801088,237.047847,58.292097,1,0.945930
0.812698,239.802210,58.492097,1,0.484987
0.824308,261.506165,59.992097,1,0.010038
0.835918,261.506165,59.992097,1,0.010000
0.847528,263.021054,60.092097,1,0.010000
0.859138,263.021054,60.092097,1,0.010000
0.870748,,,0,0.010000
0.882358,,,0,0.010000
0.893968,,,0,0.010000
0.905578,,,0,0.010000
0.917188,,,0,0.010140
0.928798,,,0,0.030107
0.940408,544.592944,72.692097,1,0.092038
0.952018,547.747739,72.792097,1,0.127937
0.963628,547.747739,72.792097,1,0.150465
0.975238,547.747739,72.792097,1,0.176531
0.986848,550.920809,72.892097,1,0.176531
0.998458,550.920809,72.892097,1,0.176531
1.010068,554.112261,72.992097,1,0.206507
1.021678,554.112261,72.992097,1,0.206507
1.033288,554.112261,72.992097,1,0.206507
1.044898,550.920809,72.892097,1,0.206507
1.056508,550.920809,72.892097,1,0.240754
1.068118,547.747739,72.792097,1,0.240754
1.079728,541.456319,72.592097,1,0.240754
1.091338,532.154424,72.292097,1,0.323336
1.102948,529.089440,72.192097,1,0.426062
1.114558,532.154424,72.292097,1,0.426062
1.126168,535.237163,72.392097,1,0.426062
1.137778,538.337760,72.492097,1,0.323336
1.149388,544.592944,72.692097,1,0.240754
1.160998,547.747739,72.792097,1,0.240754
1.172608,554.112261,72.992097,1,0.323336
1.184218,557.322201,73.092097,1,0.372133
1.195828,557.322201,73.092097,1,0.279597
1.207438,554.112261,72.992097,1,0.206504
1.219048,550.920809,72.892097,1,0.176527
1.230658,541.456319,72.592097,1,0.150457
1.242268,538.337760,72.492097,1,0.150459
1.253878,532.154424,72.292097,1,0.206490
1.265488,529.089440,72.192097,1,0.240708
